cultivar,treatment,chromatography,metabolite,log_abundance
Chardonnay,dry,GC/MS,Malonic_acid_3TMS,-0.833598485
Chardonnay,well_watered,GC/MS,Malonic_acid_3TMS,-1.051899258
Semillon,dry,GC/MS,Malonic_acid_3TMS,NA
Semillon,well_watered,GC/MS,Malonic_acid_3TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Morin_5TMS,-0.753622973
Cabernet_Sauvignon,well_watered,GC/MS,Morin_5TMS,-1.263878193
Merlot,dry,GC/MS,Morin_5TMS,0.82303652
Merlot,well_watered,GC/MS,Morin_5TMS,0.881390581
Pinot_Noir,dry,GC/MS,Morin_5TMS,0.41583354
Pinot_Noir,well_watered,GC/MS,Morin_5TMS,0.514991099
Chardonnay,dry,GC/MS,Morin_5TMS,-1.440309273
Chardonnay,well_watered,GC/MS,Morin_5TMS,-1.288368385
Semillon,dry,GC/MS,Morin_5TMS,-0.439847691
Semillon,well_watered,GC/MS,Morin_5TMS,-0.841501523
Cabernet_Sauvignon,dry,GC/MS,Nicotinic_acid_1TMS,-0.414019698
Cabernet_Sauvignon,well_watered,GC/MS,Nicotinic_acid_1TMS,-0.749324745
Merlot,dry,GC/MS,Nicotinic_acid_1TMS,NA
Merlot,well_watered,GC/MS,Nicotinic_acid_1TMS,NA
Pinot_Noir,dry,GC/MS,Nicotinic_acid_1TMS,NA
Pinot_Noir,well_watered,GC/MS,Nicotinic_acid_1TMS,NA
Chardonnay,dry,GC/MS,Nicotinic_acid_1TMS,-1.628266953
Chardonnay,well_watered,GC/MS,Nicotinic_acid_1TMS,-1.542575813
Semillon,dry,GC/MS,Nicotinic_acid_1TMS,-2.306439515
Semillon,well_watered,GC/MS,Nicotinic_acid_1TMS,-2.046698791
Cabernet_Sauvignon,dry,GC/MS,Ornithine_3TMS,-3.666106915
Cabernet_Sauvignon,well_watered,GC/MS,Ornithine_3TMS,-2.876750887
Merlot,dry,GC/MS,Ornithine_3TMS,-1.257072462
Merlot,well_watered,GC/MS,Ornithine_3TMS,-3.743876844
Pinot_Noir,dry,GC/MS,Ornithine_3TMS,1.356620798
Pinot_Noir,well_watered,GC/MS,Ornithine_3TMS,0.399342832
Chardonnay,dry,GC/MS,Ornithine_3TMS,2.544447937
Chardonnay,well_watered,GC/MS,Ornithine_3TMS,3.500680175
Semillon,dry,GC/MS,Ornithine_3TMS,-2.360491477
Semillon,well_watered,GC/MS,Ornithine_3TMS,-0.267195177
Cabernet_Sauvignon,dry,GC/MS,Ornithine_4TMS,NA
Cabernet_Sauvignon,well_watered,GC/MS,Ornithine_4TMS,NA
Merlot,dry,GC/MS,Ornithine_4TMS,-4.214584178
Merlot,well_watered,GC/MS,Ornithine_4TMS,-4.057466562
Pinot_Noir,dry,GC/MS,Ornithine_4TMS,NA
Pinot_Noir,well_watered,GC/MS,Ornithine_4TMS,NA
Chardonnay,dry,GC/MS,Ornithine_4TMS,-4.806569716
Chardonnay,well_watered,GC/MS,Ornithine_4TMS,-4.902221436
Semillon,dry,GC/MS,Ornithine_4TMS,NA
Semillon,well_watered,GC/MS,Ornithine_4TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Phenylalanine_1TMS,-1.692301939
Cabernet_Sauvignon,well_watered,GC/MS,Phenylalanine_1TMS,-1.269551093
Merlot,dry,GC/MS,Phenylalanine_1TMS,-3.988314111
Merlot,well_watered,GC/MS,Phenylalanine_1TMS,-2.659655081
Pinot_Noir,dry,GC/MS,Phenylalanine_1TMS,-2.076228963
Pinot_Noir,well_watered,GC/MS,Phenylalanine_1TMS,-1.89436215
Chardonnay,dry,GC/MS,Phenylalanine_1TMS,0.620090992
Chardonnay,well_watered,GC/MS,Phenylalanine_1TMS,0.339410197
Semillon,dry,GC/MS,Phenylalanine_1TMS,-2.260883427
Semillon,well_watered,GC/MS,Phenylalanine_1TMS,-1.404693805
Cabernet_Sauvignon,dry,GC/MS,Phenylalanine_2TMS,-1.440316316
Cabernet_Sauvignon,well_watered,GC/MS,Phenylalanine_2TMS,-1.292058169
Merlot,dry,GC/MS,Phenylalanine_2TMS,-1.525858378
Merlot,well_watered,GC/MS,Phenylalanine_2TMS,-0.688000117
Pinot_Noir,dry,GC/MS,Phenylalanine_2TMS,-1.782608282
Pinot_Noir,well_watered,GC/MS,Phenylalanine_2TMS,-1.803215179
Chardonnay,dry,GC/MS,Phenylalanine_2TMS,1.127275211
Chardonnay,well_watered,GC/MS,Phenylalanine_2TMS,1.046978104
Semillon,dry,GC/MS,Phenylalanine_2TMS,-2.305477602
Semillon,well_watered,GC/MS,Phenylalanine_2TMS,-1.642819953
Cabernet_Sauvignon,dry,GC/MS,Phosphoric_acid_3TMS,4.400375593
Cabernet_Sauvignon,well_watered,GC/MS,Phosphoric_acid_3TMS,4.65028402
Merlot,dry,GC/MS,Phosphoric_acid_3TMS,4.733625014
Merlot,well_watered,GC/MS,Phosphoric_acid_3TMS,5.123606847
Pinot_Noir,dry,GC/MS,Phosphoric_acid_3TMS,5.059887477
Pinot_Noir,well_watered,GC/MS,Phosphoric_acid_3TMS,5.037206497
Chardonnay,dry,GC/MS,Phosphoric_acid_3TMS,5.096727604
Chardonnay,well_watered,GC/MS,Phosphoric_acid_3TMS,5.152145123
Semillon,dry,GC/MS,Phosphoric_acid_3TMS,4.578643556
Semillon,well_watered,GC/MS,Phosphoric_acid_3TMS,5.122651331
Cabernet_Sauvignon,dry,GC/MS,Proline_1TMS,3.581958805
Cabernet_Sauvignon,well_watered,GC/MS,Proline_1TMS,3.507092455
Merlot,dry,GC/MS,Proline_1TMS,1.126118291
Merlot,well_watered,GC/MS,Proline_1TMS,1.599567424
Pinot_Noir,dry,GC/MS,Proline_1TMS,0.310986744
Pinot_Noir,well_watered,GC/MS,Proline_1TMS,0.855645169
Chardonnay,dry,GC/MS,Proline_1TMS,1.794341547
Chardonnay,well_watered,GC/MS,Proline_1TMS,1.877978231
Semillon,dry,GC/MS,Proline_1TMS,-0.398338032
Semillon,well_watered,GC/MS,Proline_1TMS,-0.031928022
Cabernet_Sauvignon,dry,GC/MS,Proline_2TMS,7.864784283
Cabernet_Sauvignon,well_watered,GC/MS,Proline_2TMS,7.589940267
Merlot,dry,GC/MS,Proline_2TMS,4.772706413
Merlot,well_watered,GC/MS,Proline_2TMS,5.324048966
Pinot_Noir,dry,GC/MS,Proline_2TMS,4.509895461
Pinot_Noir,well_watered,GC/MS,Proline_2TMS,5.047856846
Chardonnay,dry,GC/MS,Proline_2TMS,5.542630734
Chardonnay,well_watered,GC/MS,Proline_2TMS,5.789556428
Semillon,dry,GC/MS,Proline_2TMS,5.166333692
Semillon,well_watered,GC/MS,Proline_2TMS,5.343713242
Cabernet_Sauvignon,dry,GC/MS,Proline_CO2_2TMS,2.163542718
Cabernet_Sauvignon,well_watered,GC/MS,Proline_CO2_2TMS,2.079486529
Merlot,dry,GC/MS,Proline_CO2_2TMS,4.547974896
Merlot,well_watered,GC/MS,Proline_CO2_2TMS,4.429907971
Pinot_Noir,dry,GC/MS,Proline_CO2_2TMS,4.22379302
Pinot_Noir,well_watered,GC/MS,Proline_CO2_2TMS,3.887593168
Chardonnay,dry,GC/MS,Proline_CO2_2TMS,1.80709308
Chardonnay,well_watered,GC/MS,Proline_CO2_2TMS,1.107761441
Semillon,dry,GC/MS,Proline_CO2_2TMS,2.069888776
Semillon,well_watered,GC/MS,Proline_CO2_2TMS,1.964429321
Cabernet_Sauvignon,dry,GC/MS,Pyroglutamic_acid_2TMS,3.581542451
Cabernet_Sauvignon,well_watered,GC/MS,Pyroglutamic_acid_2TMS,3.807045733
Merlot,dry,GC/MS,Pyroglutamic_acid_2TMS,3.546486737
Merlot,well_watered,GC/MS,Pyroglutamic_acid_2TMS,3.565026764
Pinot_Noir,dry,GC/MS,Pyroglutamic_acid_2TMS,4.823111713
Pinot_Noir,well_watered,GC/MS,Pyroglutamic_acid_2TMS,5.037866092
Chardonnay,dry,GC/MS,Pyroglutamic_acid_2TMS,5.407805484
Chardonnay,well_watered,GC/MS,Pyroglutamic_acid_2TMS,5.916542523
Semillon,dry,GC/MS,Pyroglutamic_acid_2TMS,4.476008466
Semillon,well_watered,GC/MS,Pyroglutamic_acid_2TMS,4.581283139
Cabernet_Sauvignon,dry,GC/MS,Raffinose_11TMS,-1.365304887
Cabernet_Sauvignon,well_watered,GC/MS,Raffinose_11TMS,-1.117865184
Merlot,dry,GC/MS,Raffinose_11TMS,-4.373617234
Merlot,well_watered,GC/MS,Raffinose_11TMS,-4.524311543
Pinot_Noir,dry,GC/MS,Raffinose_11TMS,NA
Pinot_Noir,well_watered,GC/MS,Raffinose_11TMS,NA
Chardonnay,dry,GC/MS,Raffinose_11TMS,-0.78715746
Chardonnay,well_watered,GC/MS,Raffinose_11TMS,-0.903385297
Semillon,dry,GC/MS,Raffinose_11TMS,NA
Semillon,well_watered,GC/MS,Raffinose_11TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Ribitol_5TMS,-14.62372842
Cabernet_Sauvignon,well_watered,GC/MS,Ribitol_5TMS,-14.51862041
Merlot,dry,GC/MS,Ribitol_5TMS,-13.33956286
Merlot,well_watered,GC/MS,Ribitol_5TMS,-13.44205773
Pinot_Noir,dry,GC/MS,Ribitol_5TMS,-13.04791416
Pinot_Noir,well_watered,GC/MS,Ribitol_5TMS,-12.94887059
Chardonnay,dry,GC/MS,Ribitol_5TMS,-16.0617886
Chardonnay,well_watered,GC/MS,Ribitol_5TMS,-16.28515375
Semillon,dry,GC/MS,Ribitol_5TMS,-13.6114965
Semillon,well_watered,GC/MS,Ribitol_5TMS,-13.75041984
Cabernet_Sauvignon,dry,GC/MS,Ribonic_acid_5TMS,-1.317916508
Cabernet_Sauvignon,well_watered,GC/MS,Ribonic_acid_5TMS,-1.473247751
Merlot,dry,GC/MS,Ribonic_acid_5TMS,-1.421064855
Merlot,well_watered,GC/MS,Ribonic_acid_5TMS,-1.573297609
Pinot_Noir,dry,GC/MS,Ribonic_acid_5TMS,-1.479076601
Pinot_Noir,well_watered,GC/MS,Ribonic_acid_5TMS,-1.17228699
Chardonnay,dry,GC/MS,Ribonic_acid_5TMS,-2.547706461
Chardonnay,well_watered,GC/MS,Ribonic_acid_5TMS,-2.373093836
Semillon,dry,GC/MS,Ribonic_acid_5TMS,-1.585862189
Semillon,well_watered,GC/MS,Ribonic_acid_5TMS,-1.277481355
Cabernet_Sauvignon,dry,GC/MS,Sernie_2TMS,1.413509066
Cabernet_Sauvignon,well_watered,GC/MS,Sernie_2TMS,1.504671362
Merlot,dry,GC/MS,Sernie_2TMS,0.919310294
Merlot,well_watered,GC/MS,Sernie_2TMS,1.376350526
Pinot_Noir,dry,GC/MS,Sernie_2TMS,1.699216517
Pinot_Noir,well_watered,GC/MS,Sernie_2TMS,1.811713581
Chardonnay,dry,GC/MS,Sernie_2TMS,2.850092715
Chardonnay,well_watered,GC/MS,Sernie_2TMS,3.201021702
Semillon,dry,GC/MS,Sernie_2TMS,1.745007129
Semillon,well_watered,GC/MS,Sernie_2TMS,2.018985059
Cabernet_Sauvignon,dry,GC/MS,Serine_3TMS,1.229811032
Cabernet_Sauvignon,well_watered,GC/MS,Serine_3TMS,0.94741586
Merlot,dry,GC/MS,Serine_3TMS,-0.237904245
Merlot,well_watered,GC/MS,Serine_3TMS,0.220238057
Pinot_Noir,dry,GC/MS,Serine_3TMS,0.860418254
Pinot_Noir,well_watered,GC/MS,Serine_3TMS,1.044514427
Chardonnay,dry,GC/MS,Serine_3TMS,2.701317705
Chardonnay,well_watered,GC/MS,Serine_3TMS,3.279689196
Semillon,dry,GC/MS,Serine_3TMS,0.895731626
Semillon,well_watered,GC/MS,Serine_3TMS,1.402892762
Cabernet_Sauvignon,dry,GC/MS,Shikimic_acid_4TMS,2.099514172
Cabernet_Sauvignon,well_watered,GC/MS,Shikimic_acid_4TMS,2.495574837
Merlot,dry,GC/MS,Shikimic_acid_4TMS,-2.149593539
Merlot,well_watered,GC/MS,Shikimic_acid_4TMS,-2.21089754
Pinot_Noir,dry,GC/MS,Shikimic_acid_4TMS,NA
Pinot_Noir,well_watered,GC/MS,Shikimic_acid_4TMS,NA
Chardonnay,dry,GC/MS,Shikimic_acid_4TMS,NA
Chardonnay,well_watered,GC/MS,Shikimic_acid_4TMS,NA
Semillon,dry,GC/MS,Shikimic_acid_4TMS,NA
Semillon,well_watered,GC/MS,Shikimic_acid_4TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Sucrose_8TMS,8.621721709
Cabernet_Sauvignon,well_watered,GC/MS,Sucrose_8TMS,8.703698025
Merlot,dry,GC/MS,Sucrose_8TMS,9.026682046
Merlot,well_watered,GC/MS,Sucrose_8TMS,8.936287496
Pinot_Noir,dry,GC/MS,Sucrose_8TMS,8.899922558
Pinot_Noir,well_watered,GC/MS,Sucrose_8TMS,8.903539385
Chardonnay,dry,GC/MS,Sucrose_8TMS,7.935152696
Chardonnay,well_watered,GC/MS,Sucrose_8TMS,7.817882245
Semillon,dry,GC/MS,Sucrose_8TMS,8.792254811
Semillon,well_watered,GC/MS,Sucrose_8TMS,8.712139585
Cabernet_Sauvignon,dry,GC/MS,Tartaric_acid_4TMS,5.040971339
Cabernet_Sauvignon,well_watered,GC/MS,Tartaric_acid_4TMS,4.834477356
Merlot,dry,GC/MS,Tartaric_acid_4TMS,4.67506515
Merlot,well_watered,GC/MS,Tartaric_acid_4TMS,5.196601852
Pinot_Noir,dry,GC/MS,Tartaric_acid_4TMS,5.175605393
Pinot_Noir,well_watered,GC/MS,Tartaric_acid_4TMS,4.978428889
Chardonnay,dry,GC/MS,Tartaric_acid_4TMS,3.927252374
Chardonnay,well_watered,GC/MS,Tartaric_acid_4TMS,3.72207519
Semillon,dry,GC/MS,Tartaric_acid_4TMS,4.599672034
Semillon,well_watered,GC/MS,Tartaric_acid_4TMS,4.623541567
Cabernet_Sauvignon,dry,GC/MS,Threonic_acid_4TMS,-2.917682186
Cabernet_Sauvignon,well_watered,GC/MS,Threonic_acid_4TMS,-2.683744036
Merlot,dry,GC/MS,Threonic_acid_4TMS,-2.338894411
Merlot,well_watered,GC/MS,Threonic_acid_4TMS,-2.576661197
Pinot_Noir,dry,GC/MS,Threonic_acid_4TMS,-1.333446029
Pinot_Noir,well_watered,GC/MS,Threonic_acid_4TMS,-1.353620354
Chardonnay,dry,GC/MS,Threonic_acid_4TMS,-2.512707235
Chardonnay,well_watered,GC/MS,Threonic_acid_4TMS,-2.479693694
Semillon,dry,GC/MS,Threonic_acid_4TMS,-2.440384183
Semillon,well_watered,GC/MS,Threonic_acid_4TMS,-2.411629779
Cabernet_Sauvignon,dry,GC/MS,Threonine_2TMS,-0.193556939
Cabernet_Sauvignon,well_watered,GC/MS,Threonine_2TMS,-0.22532929
Merlot,dry,GC/MS,Threonine_2TMS,-1.419670732
Merlot,well_watered,GC/MS,Threonine_2TMS,-1.224432094
Pinot_Noir,dry,GC/MS,Threonine_2TMS,0.812512739
Pinot_Noir,well_watered,GC/MS,Threonine_2TMS,0.593686384
Chardonnay,dry,GC/MS,Threonine_2TMS,0.585812606
Chardonnay,well_watered,GC/MS,Threonine_2TMS,0.718261244
Semillon,dry,GC/MS,Threonine_2TMS,-0.207920646
Semillon,well_watered,GC/MS,Threonine_2TMS,0.037655575
Cabernet_Sauvignon,dry,GC/MS,Threonine_3TMS,0.509499307
Cabernet_Sauvignon,well_watered,GC/MS,Threonine_3TMS,0.230746956
Merlot,dry,GC/MS,Threonine_3TMS,-0.871309147
Merlot,well_watered,GC/MS,Threonine_3TMS,-0.467126754
Pinot_Noir,dry,GC/MS,Threonine_3TMS,1.246937679
Pinot_Noir,well_watered,GC/MS,Threonine_3TMS,1.109545768
Chardonnay,dry,GC/MS,Threonine_3TMS,2.071081987
Chardonnay,well_watered,GC/MS,Threonine_3TMS,2.338566991
Semillon,dry,GC/MS,Threonine_3TMS,0.77031221
Semillon,well_watered,GC/MS,Threonine_3TMS,1.156567159
Cabernet_Sauvignon,dry,GC/MS,Trehalose_alpha_alpha_D_8TMS,-0.256428556
Cabernet_Sauvignon,well_watered,GC/MS,Trehalose_alpha_alpha_D_8TMS,-0.574536577
Merlot,dry,GC/MS,Trehalose_alpha_alpha_D_8TMS,1.228084092
Merlot,well_watered,GC/MS,Trehalose_alpha_alpha_D_8TMS,1.075360705
Pinot_Noir,dry,GC/MS,Trehalose_alpha_alpha_D_8TMS,0.906135519
Pinot_Noir,well_watered,GC/MS,Trehalose_alpha_alpha_D_8TMS,0.698700199
Chardonnay,dry,GC/MS,Trehalose_alpha_alpha_D_8TMS,0.945705676
Chardonnay,well_watered,GC/MS,Trehalose_alpha_alpha_D_8TMS,1.089474974
Semillon,dry,GC/MS,Trehalose_alpha_alpha_D_8TMS,0.726802342
Semillon,well_watered,GC/MS,Trehalose_alpha_alpha_D_8TMS,0.742790314
Cabernet_Sauvignon,dry,GC/MS,Tryptophan_D5_2TMS,-5.028152476
Cabernet_Sauvignon,well_watered,GC/MS,Tryptophan_D5_2TMS,-5.178249789
Merlot,dry,GC/MS,Tryptophan_D5_2TMS,NA
Merlot,well_watered,GC/MS,Tryptophan_D5_2TMS,NA
Pinot_Noir,dry,GC/MS,Tryptophan_D5_2TMS,NA
Pinot_Noir,well_watered,GC/MS,Tryptophan_D5_2TMS,NA
Chardonnay,dry,GC/MS,Tryptophan_D5_2TMS,-0.66544132
Chardonnay,well_watered,GC/MS,Tryptophan_D5_2TMS,-0.580946602
Semillon,dry,GC/MS,Tryptophan_D5_2TMS,NA
Semillon,well_watered,GC/MS,Tryptophan_D5_2TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Tyrosine_2TMS,1.371560518
Cabernet_Sauvignon,well_watered,GC/MS,Tyrosine_2TMS,0.734490633
Merlot,dry,GC/MS,Tyrosine_2TMS,-0.837071461
Merlot,well_watered,GC/MS,Tyrosine_2TMS,-0.507929874
Pinot_Noir,dry,GC/MS,Tyrosine_2TMS,0.733042765
Pinot_Noir,well_watered,GC/MS,Tyrosine_2TMS,0.532989565
Chardonnay,dry,GC/MS,Tyrosine_2TMS,3.096590123
Chardonnay,well_watered,GC/MS,Tyrosine_2TMS,3.242823834
Semillon,dry,GC/MS,Tyrosine_2TMS,-0.055523155
Semillon,well_watered,GC/MS,Tyrosine_2TMS,0.011604935
Cabernet_Sauvignon,dry,GC/MS,Uracil_2TMS,-4.59218091
Cabernet_Sauvignon,well_watered,GC/MS,Uracil_2TMS,-4.518533613
Merlot,dry,GC/MS,Uracil_2TMS,NA
Merlot,well_watered,GC/MS,Uracil_2TMS,NA
Pinot_Noir,dry,GC/MS,Uracil_2TMS,NA
Pinot_Noir,well_watered,GC/MS,Uracil_2TMS,NA
Chardonnay,dry,GC/MS,Uracil_2TMS,-4.413242657
Chardonnay,well_watered,GC/MS,Uracil_2TMS,-4.678114748
Semillon,dry,GC/MS,Uracil_2TMS,NA
Semillon,well_watered,GC/MS,Uracil_2TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Valine_2TMS,1.825186771
Cabernet_Sauvignon,well_watered,GC/MS,Valine_2TMS,1.080582982
Merlot,dry,GC/MS,Valine_2TMS,-0.411443617
Merlot,well_watered,GC/MS,Valine_2TMS,-0.083375114
Pinot_Noir,dry,GC/MS,Valine_2TMS,1.400099949
Pinot_Noir,well_watered,GC/MS,Valine_2TMS,1.444019666
Chardonnay,dry,GC/MS,Valine_2TMS,1.907909892
Chardonnay,well_watered,GC/MS,Valine_2TMS,2.101244055
Semillon,dry,GC/MS,Valine_2TMS,0.852681988
Semillon,well_watered,GC/MS,Valine_2TMS,1.193312518
Cabernet_Sauvignon,dry,LC/MS,Epigallocatechin,4.170436599
Cabernet_Sauvignon,well_watered,LC/MS,Epigallocatechin,4.048317754
Merlot,dry,LC/MS,Epigallocatechin,4.989706916
Merlot,well_watered,LC/MS,Epigallocatechin,4.793875286
Pinot_Noir,dry,LC/MS,Epigallocatechin,3.117318055
Pinot_Noir,well_watered,LC/MS,Epigallocatechin,3.134016676
Chardonnay,dry,LC/MS,Epigallocatechin,3.734102577
Chardonnay,well_watered,LC/MS,Epigallocatechin,3.829227205
Semillon,dry,LC/MS,Epigallocatechin,4.862006709
Semillon,well_watered,LC/MS,Epigallocatechin,4.666357348
Cabernet_Sauvignon,dry,LC/MS,Catechin,4.865047738
Cabernet_Sauvignon,well_watered,LC/MS,Catechin,4.966386751
Merlot,dry,LC/MS,Catechin,6.123202189
Merlot,well_watered,LC/MS,Catechin,5.697932429
Pinot_Noir,dry,LC/MS,Catechin,4.988152163
Pinot_Noir,well_watered,LC/MS,Catechin,4.944538588
Chardonnay,dry,LC/MS,Catechin,5.996698794
Chardonnay,well_watered,LC/MS,Catechin,5.37123297
Semillon,dry,LC/MS,Catechin,6.440388519
Semillon,well_watered,LC/MS,Catechin,6.467114539
Cabernet_Sauvignon,dry,LC/MS,Astilbin,3.812646874
Cabernet_Sauvignon,well_watered,LC/MS,Astilbin,3.828856624
Merlot,dry,LC/MS,Astilbin,4.601832823
Merlot,well_watered,LC/MS,Astilbin,4.541140609
Pinot_Noir,dry,LC/MS,Astilbin,7.410891654
Pinot_Noir,well_watered,LC/MS,Astilbin,7.361349161
Chardonnay,dry,LC/MS,Astilbin,7.147246952
Chardonnay,well_watered,LC/MS,Astilbin,7.171603373
Semillon,dry,LC/MS,Astilbin,7.845025553
Semillon,well_watered,LC/MS,Astilbin,7.713182537
Cabernet_Sauvignon,dry,LC/MS,cis_Resveratrol,3.91361021
Cabernet_Sauvignon,well_watered,LC/MS,cis_Resveratrol,4.156044092
Merlot,dry,LC/MS,cis_Resveratrol,5.667953789
Merlot,well_watered,LC/MS,cis_Resveratrol,5.736293188
Pinot_Noir,dry,LC/MS,cis_Resveratrol,5.765452553
Pinot_Noir,well_watered,LC/MS,cis_Resveratrol,5.721431426
Chardonnay,dry,LC/MS,cis_Resveratrol,4.429078691
Chardonnay,well_watered,LC/MS,cis_Resveratrol,4.482730638
Semillon,dry,LC/MS,cis_Resveratrol,3.28585829
Semillon,well_watered,LC/MS,cis_Resveratrol,3.135978081
Cabernet_Sauvignon,dry,LC/MS,cis_Piceid,1.716679749
Cabernet_Sauvignon,well_watered,LC/MS,cis_Piceid,2.055686949
Merlot,dry,LC/MS,cis_Piceid,2.751348388
Merlot,well_watered,LC/MS,cis_Piceid,2.5404309
Pinot_Noir,dry,LC/MS,cis_Piceid,3.066268993
Pinot_Noir,well_watered,LC/MS,cis_Piceid,3.014418516
Chardonnay,dry,LC/MS,cis_Piceid,0.716221427
Chardonnay,well_watered,LC/MS,cis_Piceid,0.966820624
Semillon,dry,LC/MS,cis_Piceid,1.368850819
Semillon,well_watered,LC/MS,cis_Piceid,1.474022456
Cabernet_Sauvignon,dry,LC/MS,Citric_acid,6.604650452
Cabernet_Sauvignon,well_watered,LC/MS,Citric_acid,7.100713634
Merlot,dry,LC/MS,Citric_acid,5.930149783
Merlot,well_watered,LC/MS,Citric_acid,5.928828012
Pinot_Noir,dry,LC/MS,Citric_acid,7.012806133
Pinot_Noir,well_watered,LC/MS,Citric_acid,7.151411374
Chardonnay,dry,LC/MS,Citric_acid,7.541761421
Chardonnay,well_watered,LC/MS,Citric_acid,7.381001346
Semillon,dry,LC/MS,Citric_acid,6.807062586
Semillon,well_watered,LC/MS,Citric_acid,6.938510417
Cabernet_Sauvignon,dry,LC/MS,Coumaric_acid_hexoside,3.605174393
Cabernet_Sauvignon,well_watered,LC/MS,Coumaric_acid_hexoside,3.622214011
Merlot,dry,LC/MS,Coumaric_acid_hexoside,3.414316315
Merlot,well_watered,LC/MS,Coumaric_acid_hexoside,3.518243601
Pinot_Noir,dry,LC/MS,Coumaric_acid_hexoside,3.585439363
Pinot_Noir,well_watered,LC/MS,Coumaric_acid_hexoside,3.361953015
Chardonnay,dry,LC/MS,Coumaric_acid_hexoside,4.172782885
Chardonnay,well_watered,LC/MS,Coumaric_acid_hexoside,4.018729895
Semillon,dry,LC/MS,Coumaric_acid_hexoside,3.569217253
Semillon,well_watered,LC/MS,Coumaric_acid_hexoside,3.55134656
Cabernet_Sauvignon,dry,LC/MS,Cyanidin_3_O_6_acetylglucoside,5.150677552
Cabernet_Sauvignon,well_watered,LC/MS,Cyanidin_3_O_6_acetylglucoside,5.523403796
Merlot,dry,LC/MS,Cyanidin_3_O_6_acetylglucoside,6.649892365
Merlot,well_watered,LC/MS,Cyanidin_3_O_6_acetylglucoside,6.586247334
Pinot_Noir,dry,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Pinot_Noir,well_watered,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Chardonnay,dry,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Chardonnay,well_watered,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Semillon,dry,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Semillon,well_watered,LC/MS,Cyanidin_3_O_6_acetylglucoside,NA
Cabernet_Sauvignon,dry,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,4.047561382
Cabernet_Sauvignon,well_watered,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,4.300499853
Merlot,dry,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,6.057465501
Merlot,well_watered,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,6.009352755
Pinot_Noir,dry,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Pinot_Noir,well_watered,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Chardonnay,dry,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Chardonnay,well_watered,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Semillon,dry,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Semillon,well_watered,LC/MS,Cyanidin_3_O_6_p_coumaroylglucoside,NA
Cabernet_Sauvignon,dry,LC/MS,Cyanidin_3_glucoside,6.388559893
Cabernet_Sauvignon,well_watered,LC/MS,Cyanidin_3_glucoside,6.808143434
Merlot,dry,LC/MS,Cyanidin_3_glucoside,8.192927231
Merlot,well_watered,LC/MS,Cyanidin_3_glucoside,8.037628322
Pinot_Noir,dry,LC/MS,Cyanidin_3_glucoside,6.914143061
Pinot_Noir,well_watered,LC/MS,Cyanidin_3_glucoside,6.999757236
Chardonnay,dry,LC/MS,Cyanidin_3_glucoside,NA
Chardonnay,well_watered,LC/MS,Cyanidin_3_glucoside,NA
Semillon,dry,LC/MS,Cyanidin_3_glucoside,NA
Semillon,well_watered,LC/MS,Cyanidin_3_glucoside,NA
Cabernet_Sauvignon,dry,LC/MS,Delphinidin_3_O_6_acetylglucoside,6.497728864
Cabernet_Sauvignon,well_watered,LC/MS,Delphinidin_3_O_6_acetylglucoside,6.556781423
Merlot,dry,LC/MS,Delphinidin_3_O_6_acetylglucoside,6.366612314
Merlot,well_watered,LC/MS,Delphinidin_3_O_6_acetylglucoside,6.202988826
Pinot_Noir,dry,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Pinot_Noir,well_watered,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Chardonnay,dry,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Chardonnay,well_watered,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Semillon,dry,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Semillon,well_watered,LC/MS,Delphinidin_3_O_6_acetylglucoside,NA
Cabernet_Sauvignon,dry,LC/MS,Delphinidin_3_O_6_p_coumaroylglucoside,4.645298887
Cabernet_Sauvignon,well_watered,LC/MS,Delphinidin_3_O_6_p_coumaroylglucoside,4.748357266
Merlot,dry,LC/MS,Delphinidin_3_O_6_p_coumaroylglucoside,5.192335947
